Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
Prevalence of New-Onset Tinnitus after COVID-19 Vaccination with Comparison to Other Vaccinations.;36098476;No (excluded before screening);Outside the search period;2023;;;;;;
Opioid dosing among patients with 3 or more years of continuous prescription opioid use before and after the CDC opioid prescribing guideline.;34098282;No (not retrieved);Not retrieved;2021;;;;;;
The Role of Cytoreductive Nephrectomy in Metastatic Renal Cell Carcinoma: A Real-World Multi-Institutional Analysis.;35212574;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Demographic factors, psychiatric and physical comorbidities associated with starting preexposure prophylaxis in a nationally distributed cohort.;36368340;No (not retrieved);Not retrieved;2022;;;;;;
Impact of COVID-19 Pandemic on Use of Telemedicine Services in an Academic Medical Center.;34042775;Yes;n/a;2021;22;Yes;US;US;Mount Sinai Health System;US
Cardiovascular outcomes with sodium-glucose cotransporter-2 inhibitors vs other glucose-lowering drugs in 13 countries across three continents: analysis of CVD-REAL data.;34332558;Yes;n/a;2021;9;No;UK;UK;Multiple;AU, CA, DK, FI, DE, IL, JP, NO, SG, KR, ES, SE, TW, US
Leveraging Large-Scale Genetics of PTSD and Cardiovascular Disease to Demonstrate Robust Shared Risk and Improve Risk Prediction Accuracy.;36069022;Yes;n/a;2022;5;No;US;US;Mass General Brigham;US
Real-World Treatment Patterns and Outcomes Among Multiple Myeloma Patients with Asthma and COPD in the United States.;33728584;Yes;n/a;2021;2;No;US;US;Optum;US
Prognostic model to identify and quantify risk factors for mortality among hospitalised patients with COVID-19 in the USA.;33827848;Yes;n/a;2021;22;Yes;US;US;Optum;US
COVID-19 Outcomes in Myasthenia Gravis Patients: Analysis From Electronic Health Records in the United States.;35418937;Yes;n/a;2022;6;Yes;US;US;Optum;US
Outcomes for continuous subcutaneous insulin infusion users in young adults from lower socioeconomic backgrounds.;34277976;Yes;n/a;2021;4;No;US;US;Optum;US
Life expectancy and risk of death in 6791 communities in England from 2002 to 2019: high-resolution spatiotemporal analysis of civil registration data.;34653419;Yes;n/a;2021;;No;UK;UK;Imperial Colllege London;UK
Real-world retrospective analysis of outcomes in patients undergoing bariatric surgery with class 1 obesity.;35241377;No (not retrieved);Not retrieved;2022;;;;;;
Accuracy of Cone-Beam Computed Tomography Versus Periapical Radiography Measurements When Planning Placement of Implants in the Posterior Maxilla: A Retrospective Study.;34270273;No (not retrieved);Not retrieved;2021;;;;;;
Biologic use in psoriatic arthritis and ankylosing spondylitis patients: a descriptive epidemiological study using linked, routine data in Wales, UK.;34632260;Yes;n/a;2021;13;No;UK;UK;SAIL Databank;UK
Real-World Treatment Patterns and Overall Survival of Patients with Metastatic Castration-Resistant Prostate Cancer in the US Prior to PARP Inhibitors.;34282527;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Each patient is a research biorepository: informatics-enabled research on surplus clinical specimens via the living BioBank.;33166379;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
The Association of Real-World CA 19-9 Level Monitoring Patterns and Clinical Outcomes Among Patients With Metastatic Pancreatic Ductal Adenocarcinoma.;34671563;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Real-world Use of Radiation for Newly Diagnosed Brain Metastases in Patients With ALK-positive Lung Cancer Receiving First-line ALK Inhibitor.;35870711;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Multisystem Inflammatory Syndrome Associated with SARS-CoV-2 Infection in an Adult: A Case Report from the Maldives.;34698279;Yes;n/a;2021;22;Yes;MV;JP;Indira Gandhi Memorial Hospital;MV
Medication prescribing in face-to-face versus telehealth consultations during the COVID-19 pandemic in Australian general practice: a retrospective observational study.;34819296;Yes;n/a;2022;;Yes;AU;AU;Outcome Health;AU
Unmasking Fracture Risk in Type 2 Diabetes: The Association of Longitudinal Glycemic Hemoglobin Level and Medications.;34888676;Yes;n/a;2022;4;No;US;US;Optum;US
Study of patient characteristics, treatment patterns, EGFR testing patterns and outcomes in real-world patients with EGFRm(+) non-small cell lung cancer.;34544302;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Identifying the Risk of Sepsis in Patients With Cancer Using Digital Health Care Records: Machine Learning-Based Approach.;35704364;Yes;n/a;2022;1;No;KR;KR;Samsung Medical Center;KR
Predictors of Sudden Cardiac Arrest Among Patients With Post-Myocardial Infarction Ejection Fraction Greater Than 35.;34259015;Yes;n/a;2021;9;No;US;US;Optum;US
Cost-minimization analysis of biweekly dosing of cetuximab and FOLFIRI compared with panitumumab and FOLFOX for first-line treatment of patients with KRAS wild-type metastatic colorectal cancer in the United States.;34529522;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Obstetric near misses among women with serious mental illness: data linkage cohort study.;33427147;Yes;n/a;2021;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Understanding Factors Associated With Anaplastic Lymphoma Kinase Testing Delays in Patients With Non-Small Cell Lung Cancer in a Large Real-World Oncology Database.;34752598;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
PerFECT 2.0: A Web-Based Platform Designed to Facilitate and Support the Diagnosis of Patients with Idiopathic Pulmonary Fibrosis in Italy.;33974238;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
Comorbidity clusters associated with newly treated type 2 diabetes mellitus: a Bayesian nonparametric analysis.;36450743;Yes;n/a;2022;4;No;CH;CH;The Health Improvement Network;UK
Prolonged PR interval and incidence of atrial fibrillation, heart failure admissions, and mortality in patients with implanted cardiac devices: A real-world survey.;36993911;No (excluded before screening);Outside the search period;2023;;;;;;
[The first data challenge of the french society of pathology: An international competition in 2020, a research tool in A.I. for the future?].;35012784;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Effectiveness of the recombinant zoster vaccine among Kaiser Permanente Hawaii enrollees aged 50 and older: A retrospective cohort study.;34116874;Yes;n/a;2021;1;No;US;US;Kaiser Permanente Hawaii;US
Outcomes for Patients With Chronic Lymphocytic Leukemia (CLL) Previously Treated With Both a Covalent BTK and BCL2 Inhibitor in the United States: A Real-World Database Study.;36335022;No (excluded before screening);Outside the search period;2023;;;;;;
Adherence to guidelines-recommended diagnostic testing was associated with overall survival in patients with diffuse large B-cell lymphoma after rituximab-based treatment: an observational cohort study.;35974175;No (excluded before screening);Outside the search period;2023;;;;;;
Spatial N-glycomics of the human aortic valve in development and pediatric endstage congenital aortic valve stenosis.;33516683;Yes;n/a;2021;9;No;US;US;Vanderbilt University Medical Center;US
Temporal trends in primary care-recorded self-harm during and beyond the first year of the COVID-19 pandemic: Time series analysis of electronic healthcare records for 2.8 million patients in the Greater Manchester Care Record.;34746726;Yes;n/a;2021;5;Yes;UK;UK;NHS Greater Manchester;UK
Metabolic acidosis is associated with increased risk of adverse kidney outcomes and mortality in patients with non-dialysis dependent chronic kidney disease: an observational cohort study.;34011303;Yes;n/a;2021;14;No;CA;US;Optum;US
Effect of prior treatments on post-CDK 4/6 inhibitor survival in hormone receptor-positive breast cancer.;36539670;No (excluded before screening);Outside the search period;2023;;;;;;
Association of metabolic acidosis with fractures, falls, protein-calorie malnutrition and failure to thrive in patients with chronic kidney disease.;35756750;Yes;n/a;2022;14;No;US;CA;Optum;US
Hospitalization Rates in Patients with Heart Failure and Reduced Ejection Fraction Initiating Sacubitril/Valsartan or Angiotensin-Converting Enzyme Inhibitors/Angiotensin Receptor Blockers: A Retrospective Cohort Study.;35094306;Yes;n/a;2022;9;No;IE;CH;Optum;US
Association of depression symptom severity with short-term risk of an initial hospital encounter in adults with major depressive disorder.;34001045;Yes;n/a;2021;5;No;US;US;Optum;US
Effectiveness and safety of rivaroxaban versus warfarin in obese patients with acute venous thromboembolism: analysis of electronic health record data.;32588288;Yes;n/a;2021;9;No;US;US;Optum;US
Why Test study protocol: a UK-wide audit using the Primary Care Academic CollaboraTive (PACT) to explore the reasons for primary care testing.;35508322;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
A Retrospective Study of COVID-19-Related Urgent Medical Visits and Hospitalizations After Outpatient COVID-19 Diagnosis in the US.;33961213;Yes;n/a;2021;22;Yes;US;US;Optum;US
Temperature and place associations with Inuit mental health in the context of climate change.;33857460;Yes;n/a;2021;5;No;CA;CA;Multiple;CA
Disparities in Prehospital Non-Traumatic Pain Management.;35939557;No (excluded before screening);Outside the search period;2023;;;;;;
Indirect acute effects of the COVID-19 pandemic on physical and mental health in the UK: a population-based study.;33612430;Yes;n/a;2021;5;Yes;UK;UK;Clinical Practice Research Datalink;UK
Machine Learning Based Prediction of Gamma Passing Rate for VMAT Radiotherapy Plans.;36556291;Yes;n/a;2022;2;No;PL;PL;Maria Sklodowska-Curie National Research Institute of Oncology;PL
Early detection of COVID-19 outbreaks using human mobility data.;34283839;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Development and Evaluation of a Point-of-Care Test in a Low-Resource Setting with High Rates of Chlamydia trachomatis Urogenital Infections in Fiji.;33910964;Yes;n/a;2021;1;No;US;US;Fijian Ministry of Health and Medical Services health centers and outreach locations;FJ
Opioid use disorder and health service utilization among COVID-19 patients in the US: A nationwide cohort from the Cerner Real-World Data.;34109308;Yes;n/a;2021;5;Yes;US;US;Cerner Corporation;US
FIMED: Flexible management of biomedical data.;34740063;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
Real-World Outcomes and Prognostic Factors Among Patients with Advanced Non-Small Cell Lung Cancer and High PD-L1 Expression Treated with Immune Checkpoint Inhibitors as First-Line Therapy.;36415537;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Defining clinical subtypes of adult asthma using electronic health records: Analysis of a large UK primary care database with external validation.;36529028;No (excluded before screening);Outside the search period;2023;;;;;;
Quantifying Variation in Treatment Utilization for Type 2 Diabetes Across Five Major University of California Health Systems.;33531419;Yes;n/a;2021;4;No;US;US;University of California;US
